Frames: 8, Disk Reads: 30691.0, Disk Writes: 11092.0, Page Fault Rate: 0.0307
Frames: 16, Disk Reads: 3344.0, Disk Writes: 1069.0, Page Fault Rate: 0.0033
Frames: 32, Disk Reads: 2133.0, Disk Writes: 702.0, Page Fault Rate: 0.0021
Frames: 48, Disk Reads: 1490.0, Disk Writes: 505.0, Page Fault Rate: 0.0015
Frames: 64, Disk Reads: 1264.0, Disk Writes: 420.0, Page Fault Rate: 0.0013
Frames: 80, Disk Reads: 1050.0, Disk Writes: 352.0, Page Fault Rate: 0.001
Frames: 96, Disk Reads: 937.0, Disk Writes: 308.0, Page Fault Rate: 0.0009
Frames: 112, Disk Reads: 845.0, Disk Writes: 255.0, Page Fault Rate: 0.0008
Frames: 128, Disk Reads: 771.0, Disk Writes: 224.0, Page Fault Rate: 0.0008
Frames: 160, Disk Reads: 624.0, Disk Writes: 144.0, Page Fault Rate: 0.0006
Frames: 192, Disk Reads: 505.0, Disk Writes: 102.0, Page Fault Rate: 0.0005
Frames: 256, Disk Reads: 397.0, Disk Writes: 48.0, Page Fault Rate: 0.0004
Frames: 320, Disk Reads: 317.0, Disk Writes: 0.0, Page Fault Rate: 0.0003
Frames: 384, Disk Reads: 317.0, Disk Writes: 0.0, Page Fault Rate: 0.0003
