Frames: 8, Disk Reads: 3095.1, Disk Writes: 260.1, Page Fault Rate: 0.0031
Frames: 16, Disk Reads: 2099.6, Disk Writes: 233.8, Page Fault Rate: 0.0021000000000000003
Frames: 32, Disk Reads: 1465.6, Disk Writes: 210.7, Page Fault Rate: 0.00146
Frames: 48, Disk Reads: 1212.6, Disk Writes: 186.3, Page Fault Rate: 0.0012
Frames: 64, Disk Reads: 1037.4, Disk Writes: 171.7, Page Fault Rate: 0.0010300000000000003
Frames: 80, Disk Reads: 937.7, Disk Writes: 171.5, Page Fault Rate: 0.0009299999999999999
Frames: 96, Disk Reads: 845.4, Disk Writes: 160.7, Page Fault Rate: 0.0008400000000000001
Frames: 112, Disk Reads: 774.1, Disk Writes: 149.9, Page Fault Rate: 0.0007900000000000001
Frames: 128, Disk Reads: 711.5, Disk Writes: 139.5, Page Fault Rate: 0.0007
Frames: 160, Disk Reads: 596.8, Disk Writes: 113.4, Page Fault Rate: 0.0006
Frames: 192, Disk Reads: 510.0, Disk Writes: 95.0, Page Fault Rate: 0.0005000000000000001
Frames: 256, Disk Reads: 393.3, Disk Writes: 54.4, Page Fault Rate: 0.0004000000000000001
Frames: 320, Disk Reads: 317.0, Disk Writes: 0.0, Page Fault Rate: 0.0003
Frames: 384, Disk Reads: 317.0, Disk Writes: 0.0, Page Fault Rate: 0.0003
