Frames: 256, Disk Reads: 26789.0, Disk Writes: 4528.0, Page Fault Rate: 0.0268
Frames: 320, Disk Reads: 22707.0, Disk Writes: 3926.0, Page Fault Rate: 0.0227
Frames: 384, Disk Reads: 17720.0, Disk Writes: 3273.0, Page Fault Rate: 0.0177
Frames: 448, Disk Reads: 13834.0, Disk Writes: 2722.0, Page Fault Rate: 0.0138
Frames: 512, Disk Reads: 11472.0, Disk Writes: 2398.0, Page Fault Rate: 0.0115
Frames: 640, Disk Reads: 8565.0, Disk Writes: 1919.0, Page Fault Rate: 0.0086
Frames: 768, Disk Reads: 6901.0, Disk Writes: 1607.0, Page Fault Rate: 0.0069
Frames: 896, Disk Reads: 5565.0, Disk Writes: 1296.0, Page Fault Rate: 0.0056
Frames: 1024, Disk Reads: 4765.0, Disk Writes: 1086.0, Page Fault Rate: 0.0048
Frames: 1152, Disk Reads: 4233.0, Disk Writes: 919.0, Page Fault Rate: 0.0042
Frames: 1280, Disk Reads: 3671.0, Disk Writes: 796.0, Page Fault Rate: 0.0037
Frames: 1408, Disk Reads: 3412.0, Disk Writes: 703.0, Page Fault Rate: 0.0034
Frames: 1536, Disk Reads: 3226.0, Disk Writes: 652.0, Page Fault Rate: 0.0032
Frames: 1664, Disk Reads: 3066.0, Disk Writes: 578.0, Page Fault Rate: 0.0031
Frames: 1792, Disk Reads: 3019.0, Disk Writes: 520.0, Page Fault Rate: 0.003
Frames: 1920, Disk Reads: 2954.0, Disk Writes: 470.0, Page Fault Rate: 0.003
Frames: 2048, Disk Reads: 2929.0, Disk Writes: 449.0, Page Fault Rate: 0.0029
Frames: 2176, Disk Reads: 2907.0, Disk Writes: 415.0, Page Fault Rate: 0.0029
Frames: 2304, Disk Reads: 2902.0, Disk Writes: 387.0, Page Fault Rate: 0.0029
Frames: 2432, Disk Reads: 2882.0, Disk Writes: 363.0, Page Fault Rate: 0.0029
Frames: 2560, Disk Reads: 2901.0, Disk Writes: 298.0, Page Fault Rate: 0.0029
Frames: 2688, Disk Reads: 2870.0, Disk Writes: 140.0, Page Fault Rate: 0.0029
Frames: 2816, Disk Reads: 2855.0, Disk Writes: 18.0, Page Fault Rate: 0.0029
Frames: 2944, Disk Reads: 2852.0, Disk Writes: 0.0, Page Fault Rate: 0.0029
Frames: 3072, Disk Reads: 2852.0, Disk Writes: 0.0, Page Fault Rate: 0.0029
