Frames: 256, Disk Reads: 25308.0, Disk Writes: 4231.0, Page Fault Rate: 0.0253
Frames: 320, Disk Reads: 21027.0, Disk Writes: 3576.0, Page Fault Rate: 0.021
Frames: 384, Disk Reads: 16435.0, Disk Writes: 2979.0, Page Fault Rate: 0.0164
Frames: 448, Disk Reads: 12695.0, Disk Writes: 2511.0, Page Fault Rate: 0.0127
Frames: 512, Disk Reads: 10425.0, Disk Writes: 2173.0, Page Fault Rate: 0.0104
Frames: 640, Disk Reads: 7937.0, Disk Writes: 1752.0, Page Fault Rate: 0.0079
Frames: 768, Disk Reads: 6389.0, Disk Writes: 1421.0, Page Fault Rate: 0.0064
Frames: 896, Disk Reads: 5287.0, Disk Writes: 1173.0, Page Fault Rate: 0.0053
Frames: 1024, Disk Reads: 4391.0, Disk Writes: 955.0, Page Fault Rate: 0.0044
Frames: 1152, Disk Reads: 3818.0, Disk Writes: 826.0, Page Fault Rate: 0.0038
Frames: 1280, Disk Reads: 3522.0, Disk Writes: 750.0, Page Fault Rate: 0.0035
Frames: 1408, Disk Reads: 3260.0, Disk Writes: 656.0, Page Fault Rate: 0.0033
Frames: 1536, Disk Reads: 3094.0, Disk Writes: 593.0, Page Fault Rate: 0.0031
Frames: 1664, Disk Reads: 3012.0, Disk Writes: 551.0, Page Fault Rate: 0.003
Frames: 1792, Disk Reads: 2956.0, Disk Writes: 523.0, Page Fault Rate: 0.003
Frames: 1920, Disk Reads: 2930.0, Disk Writes: 477.0, Page Fault Rate: 0.0029
Frames: 2048, Disk Reads: 2904.0, Disk Writes: 427.0, Page Fault Rate: 0.0029
Frames: 2176, Disk Reads: 2890.0, Disk Writes: 394.0, Page Fault Rate: 0.0029
Frames: 2304, Disk Reads: 2877.0, Disk Writes: 365.0, Page Fault Rate: 0.0029
Frames: 2432, Disk Reads: 2865.0, Disk Writes: 309.0, Page Fault Rate: 0.0029
Frames: 2560, Disk Reads: 2856.0, Disk Writes: 268.0, Page Fault Rate: 0.0029
Frames: 2688, Disk Reads: 2853.0, Disk Writes: 140.0, Page Fault Rate: 0.0029
Frames: 2816, Disk Reads: 2852.0, Disk Writes: 12.0, Page Fault Rate: 0.0029
Frames: 2944, Disk Reads: 2852.0, Disk Writes: 0.0, Page Fault Rate: 0.0029
Frames: 3072, Disk Reads: 2852.0, Disk Writes: 0.0, Page Fault Rate: 0.0029
