Frames: 256, Disk Reads: 17734.4, Disk Writes: 1012.4, Page Fault Rate: 0.01772
Frames: 320, Disk Reads: 14980.6, Disk Writes: 1083.2, Page Fault Rate: 0.01497
Frames: 384, Disk Reads: 13156.6, Disk Writes: 1139.5, Page Fault Rate: 0.01316
Frames: 448, Disk Reads: 11772.6, Disk Writes: 1195.6, Page Fault Rate: 0.011770000000000001
Frames: 512, Disk Reads: 10637.7, Disk Writes: 1199.8, Page Fault Rate: 0.01064
Frames: 640, Disk Reads: 8728.9, Disk Writes: 1155.6, Page Fault Rate: 0.00872
Frames: 768, Disk Reads: 7402.3, Disk Writes: 1115.6, Page Fault Rate: 0.007400000000000001
Frames: 896, Disk Reads: 6512.5, Disk Writes: 1064.9, Page Fault Rate: 0.006529999999999999
Frames: 1024, Disk Reads: 5819.6, Disk Writes: 1018.3, Page Fault Rate: 0.005840000000000001
Frames: 1152, Disk Reads: 5281.2, Disk Writes: 949.7, Page Fault Rate: 0.0052699999999999995
Frames: 1280, Disk Reads: 4827.4, Disk Writes: 876.0, Page Fault Rate: 0.00484
Frames: 1408, Disk Reads: 4440.6, Disk Writes: 794.7, Page Fault Rate: 0.0044399999999999995
Frames: 1536, Disk Reads: 4137.0, Disk Writes: 711.8, Page Fault Rate: 0.00413
Frames: 1664, Disk Reads: 3869.4, Disk Writes: 625.8, Page Fault Rate: 0.00388
Frames: 1792, Disk Reads: 3651.9, Disk Writes: 550.3, Page Fault Rate: 0.003660000000000001
Frames: 1920, Disk Reads: 3457.3, Disk Writes: 466.8, Page Fault Rate: 0.00347
Frames: 2048, Disk Reads: 3300.4, Disk Writes: 390.7, Page Fault Rate: 0.0033
Frames: 2176, Disk Reads: 3173.5, Disk Writes: 328.6, Page Fault Rate: 0.0031900000000000006
Frames: 2304, Disk Reads: 3073.0, Disk Writes: 253.7, Page Fault Rate: 0.0030999999999999995
Frames: 2432, Disk Reads: 2994.2, Disk Writes: 189.0, Page Fault Rate: 0.0029999999999999996
Frames: 2560, Disk Reads: 2940.2, Disk Writes: 128.8, Page Fault Rate: 0.00292
Frames: 2688, Disk Reads: 2892.6, Disk Writes: 72.2, Page Fault Rate: 0.0029
Frames: 2816, Disk Reads: 2856.6, Disk Writes: 13.4, Page Fault Rate: 0.0029
Frames: 2944, Disk Reads: 2852.0, Disk Writes: 0.0, Page Fault Rate: 0.0029
Frames: 3072, Disk Reads: 2852.0, Disk Writes: 0.0, Page Fault Rate: 0.0029
