Frames: 256, Disk Reads: 11876.0, Disk Writes: 4319.0, Page Fault Rate: 0.0119
Frames: 320, Disk Reads: 9278.0, Disk Writes: 3661.0, Page Fault Rate: 0.0093
Frames: 384, Disk Reads: 7560.0, Disk Writes: 3069.0, Page Fault Rate: 0.0076
Frames: 448, Disk Reads: 6632.0, Disk Writes: 2799.0, Page Fault Rate: 0.0066
Frames: 512, Disk Reads: 6119.0, Disk Writes: 2587.0, Page Fault Rate: 0.0061
Frames: 640, Disk Reads: 5393.0, Disk Writes: 2313.0, Page Fault Rate: 0.0054
Frames: 768, Disk Reads: 5055.0, Disk Writes: 2151.0, Page Fault Rate: 0.0051
Frames: 896, Disk Reads: 4791.0, Disk Writes: 2027.0, Page Fault Rate: 0.0048
Frames: 1024, Disk Reads: 4618.0, Disk Writes: 1937.0, Page Fault Rate: 0.0046
Frames: 1152, Disk Reads: 4449.0, Disk Writes: 1829.0, Page Fault Rate: 0.0044
Frames: 1280, Disk Reads: 4369.0, Disk Writes: 1766.0, Page Fault Rate: 0.0044
Frames: 1408, Disk Reads: 4297.0, Disk Writes: 1691.0, Page Fault Rate: 0.0043
Frames: 1536, Disk Reads: 4218.0, Disk Writes: 1628.0, Page Fault Rate: 0.0042
Frames: 1664, Disk Reads: 4130.0, Disk Writes: 1547.0, Page Fault Rate: 0.0041
Frames: 1792, Disk Reads: 4103.0, Disk Writes: 1504.0, Page Fault Rate: 0.0041
Frames: 1920, Disk Reads: 4027.0, Disk Writes: 1468.0, Page Fault Rate: 0.004
Frames: 2048, Disk Reads: 3993.0, Disk Writes: 1374.0, Page Fault Rate: 0.004
Frames: 2176, Disk Reads: 3972.0, Disk Writes: 1266.0, Page Fault Rate: 0.004
Frames: 2304, Disk Reads: 3959.0, Disk Writes: 1179.0, Page Fault Rate: 0.004
Frames: 2432, Disk Reads: 3949.0, Disk Writes: 1056.0, Page Fault Rate: 0.0039
Frames: 2560, Disk Reads: 3947.0, Disk Writes: 939.0, Page Fault Rate: 0.0039
Frames: 2688, Disk Reads: 3948.0, Disk Writes: 813.0, Page Fault Rate: 0.0039
Frames: 2816, Disk Reads: 3944.0, Disk Writes: 701.0, Page Fault Rate: 0.0039
Frames: 2944, Disk Reads: 3922.0, Disk Writes: 650.0, Page Fault Rate: 0.0039
Frames: 3072, Disk Reads: 3919.0, Disk Writes: 616.0, Page Fault Rate: 0.0039
Frames: 3200, Disk Reads: 3914.0, Disk Writes: 566.0, Page Fault Rate: 0.0039
Frames: 3328, Disk Reads: 3902.0, Disk Writes: 491.0, Page Fault Rate: 0.0039
Frames: 3456, Disk Reads: 3900.0, Disk Writes: 382.0, Page Fault Rate: 0.0039
Frames: 3584, Disk Reads: 3897.0, Disk Writes: 250.0, Page Fault Rate: 0.0039
