Frames: 256, Disk Reads: 11240.0, Disk Writes: 4092.0, Page Fault Rate: 0.0112
Frames: 320, Disk Reads: 8599.0, Disk Writes: 3418.0, Page Fault Rate: 0.0086
Frames: 384, Disk Reads: 7093.0, Disk Writes: 2873.0, Page Fault Rate: 0.0071
Frames: 448, Disk Reads: 6329.0, Disk Writes: 2630.0, Page Fault Rate: 0.0063
Frames: 512, Disk Reads: 5823.0, Disk Writes: 2444.0, Page Fault Rate: 0.0058
Frames: 640, Disk Reads: 5237.0, Disk Writes: 2237.0, Page Fault Rate: 0.0052
Frames: 768, Disk Reads: 4898.0, Disk Writes: 2092.0, Page Fault Rate: 0.0049
Frames: 896, Disk Reads: 4613.0, Disk Writes: 1950.0, Page Fault Rate: 0.0046
Frames: 1024, Disk Reads: 4468.0, Disk Writes: 1846.0, Page Fault Rate: 0.0045
Frames: 1152, Disk Reads: 4355.0, Disk Writes: 1786.0, Page Fault Rate: 0.0044
Frames: 1280, Disk Reads: 4265.0, Disk Writes: 1714.0, Page Fault Rate: 0.0043
Frames: 1408, Disk Reads: 4195.0, Disk Writes: 1639.0, Page Fault Rate: 0.0042
Frames: 1536, Disk Reads: 4128.0, Disk Writes: 1574.0, Page Fault Rate: 0.0041
Frames: 1664, Disk Reads: 4079.0, Disk Writes: 1508.0, Page Fault Rate: 0.0041
Frames: 1792, Disk Reads: 4041.0, Disk Writes: 1448.0, Page Fault Rate: 0.004
Frames: 1920, Disk Reads: 4017.0, Disk Writes: 1401.0, Page Fault Rate: 0.004
Frames: 2048, Disk Reads: 3951.0, Disk Writes: 1356.0, Page Fault Rate: 0.004
Frames: 2176, Disk Reads: 3942.0, Disk Writes: 1277.0, Page Fault Rate: 0.0039
Frames: 2304, Disk Reads: 3933.0, Disk Writes: 1171.0, Page Fault Rate: 0.0039
Frames: 2432, Disk Reads: 3922.0, Disk Writes: 1056.0, Page Fault Rate: 0.0039
Frames: 2560, Disk Reads: 3914.0, Disk Writes: 953.0, Page Fault Rate: 0.0039
Frames: 2688, Disk Reads: 3910.0, Disk Writes: 837.0, Page Fault Rate: 0.0039
Frames: 2816, Disk Reads: 3905.0, Disk Writes: 719.0, Page Fault Rate: 0.0039
Frames: 2944, Disk Reads: 3902.0, Disk Writes: 607.0, Page Fault Rate: 0.0039
Frames: 3072, Disk Reads: 3899.0, Disk Writes: 530.0, Page Fault Rate: 0.0039
Frames: 3200, Disk Reads: 3895.0, Disk Writes: 488.0, Page Fault Rate: 0.0039
Frames: 3328, Disk Reads: 3894.0, Disk Writes: 460.0, Page Fault Rate: 0.0039
Frames: 3456, Disk Reads: 3891.0, Disk Writes: 388.0, Page Fault Rate: 0.0039
Frames: 3584, Disk Reads: 3891.0, Disk Writes: 260.0, Page Fault Rate: 0.0039
