Frames: 256, Disk Reads: 8268.4, Disk Writes: 1273.1, Page Fault Rate: 0.00826
Frames: 320, Disk Reads: 7410.7, Disk Writes: 1305.7, Page Fault Rate: 0.007419999999999999
Frames: 384, Disk Reads: 6888.9, Disk Writes: 1343.7, Page Fault Rate: 0.0068800000000000016
Frames: 448, Disk Reads: 6537.5, Disk Writes: 1383.7, Page Fault Rate: 0.00655
Frames: 512, Disk Reads: 6234.4, Disk Writes: 1387.3, Page Fault Rate: 0.00624
Frames: 640, Disk Reads: 5774.7, Disk Writes: 1407.2, Page Fault Rate: 0.00578
Frames: 768, Disk Reads: 5475.7, Disk Writes: 1378.2, Page Fault Rate: 0.00548
Frames: 896, Disk Reads: 5259.2, Disk Writes: 1353.9, Page Fault Rate: 0.0052499999999999995
Frames: 1024, Disk Reads: 5068.1, Disk Writes: 1314.7, Page Fault Rate: 0.00506
Frames: 1152, Disk Reads: 4899.1, Disk Writes: 1247.6, Page Fault Rate: 0.0049
Frames: 1280, Disk Reads: 4763.5, Disk Writes: 1191.4, Page Fault Rate: 0.00475
Frames: 1408, Disk Reads: 4676.5, Disk Writes: 1158.7, Page Fault Rate: 0.0046900000000000015
Frames: 1536, Disk Reads: 4587.7, Disk Writes: 1119.0, Page Fault Rate: 0.0046
Frames: 1664, Disk Reads: 4513.0, Disk Writes: 1098.3, Page Fault Rate: 0.004499999999999999
Frames: 1792, Disk Reads: 4443.1, Disk Writes: 1051.0, Page Fault Rate: 0.00443
Frames: 1920, Disk Reads: 4391.4, Disk Writes: 1018.5, Page Fault Rate: 0.0044
Frames: 2048, Disk Reads: 4337.8, Disk Writes: 958.6, Page Fault Rate: 0.00433
Frames: 2176, Disk Reads: 4297.1, Disk Writes: 909.6, Page Fault Rate: 0.004299999999999999
Frames: 2304, Disk Reads: 4250.3, Disk Writes: 870.1, Page Fault Rate: 0.004259999999999999
Frames: 2432, Disk Reads: 4218.4, Disk Writes: 808.0, Page Fault Rate: 0.004200000000000001
Frames: 2560, Disk Reads: 4161.7, Disk Writes: 719.6, Page Fault Rate: 0.00419
Frames: 2688, Disk Reads: 4113.6, Disk Writes: 629.9, Page Fault Rate: 0.0041
Frames: 2816, Disk Reads: 4080.5, Disk Writes: 546.4, Page Fault Rate: 0.0041
Frames: 2944, Disk Reads: 4040.1, Disk Writes: 479.5, Page Fault Rate: 0.00402
Frames: 3072, Disk Reads: 4008.4, Disk Writes: 406.5, Page Fault Rate: 0.004000000000000001
Frames: 3200, Disk Reads: 3978.8, Disk Writes: 327.6, Page Fault Rate: 0.004000000000000001
Frames: 3328, Disk Reads: 3953.8, Disk Writes: 265.3, Page Fault Rate: 0.00397
Frames: 3456, Disk Reads: 3927.5, Disk Writes: 201.0, Page Fault Rate: 0.0039
Frames: 3584, Disk Reads: 3916.8, Disk Writes: 139.9, Page Fault Rate: 0.0039
