Frames: 160, Disk Reads: 11438.0, Disk Writes: 3455.0, Page Fault Rate: 0.0114
Frames: 192, Disk Reads: 8367.0, Disk Writes: 2633.0, Page Fault Rate: 0.0084
Frames: 256, Disk Reads: 5980.0, Disk Writes: 1973.0, Page Fault Rate: 0.006
Frames: 320, Disk Reads: 5008.0, Disk Writes: 1641.0, Page Fault Rate: 0.005
Frames: 384, Disk Reads: 4522.0, Disk Writes: 1454.0, Page Fault Rate: 0.0045
Frames: 448, Disk Reads: 4157.0, Disk Writes: 1312.0, Page Fault Rate: 0.0042
Frames: 512, Disk Reads: 3795.0, Disk Writes: 1218.0, Page Fault Rate: 0.0038
Frames: 640, Disk Reads: 3343.0, Disk Writes: 1083.0, Page Fault Rate: 0.0033
Frames: 768, Disk Reads: 3157.0, Disk Writes: 1008.0, Page Fault Rate: 0.0032
Frames: 896, Disk Reads: 2943.0, Disk Writes: 885.0, Page Fault Rate: 0.0029
Frames: 1024, Disk Reads: 2901.0, Disk Writes: 809.0, Page Fault Rate: 0.0029
Frames: 1152, Disk Reads: 2822.0, Disk Writes: 723.0, Page Fault Rate: 0.0028
Frames: 1280, Disk Reads: 2786.0, Disk Writes: 678.0, Page Fault Rate: 0.0028
Frames: 1408, Disk Reads: 2732.0, Disk Writes: 598.0, Page Fault Rate: 0.0027
Frames: 1536, Disk Reads: 2728.0, Disk Writes: 562.0, Page Fault Rate: 0.0027
Frames: 1664, Disk Reads: 2789.0, Disk Writes: 542.0, Page Fault Rate: 0.0028
Frames: 1792, Disk Reads: 2687.0, Disk Writes: 412.0, Page Fault Rate: 0.0027
Frames: 1920, Disk Reads: 2645.0, Disk Writes: 336.0, Page Fault Rate: 0.0026
Frames: 2048, Disk Reads: 2642.0, Disk Writes: 254.0, Page Fault Rate: 0.0026
Frames: 2176, Disk Reads: 2633.0, Disk Writes: 186.0, Page Fault Rate: 0.0026
Frames: 2304, Disk Reads: 2580.0, Disk Writes: 110.0, Page Fault Rate: 0.0026
Frames: 2432, Disk Reads: 2554.0, Disk Writes: 50.0, Page Fault Rate: 0.0026
Frames: 2560, Disk Reads: 2543.0, Disk Writes: 0.0, Page Fault Rate: 0.0025
Frames: 2688, Disk Reads: 2543.0, Disk Writes: 0.0, Page Fault Rate: 0.0025
