Frames: 160, Disk Reads: 10076.0, Disk Writes: 3058.0, Page Fault Rate: 0.0101
Frames: 192, Disk Reads: 7602.0, Disk Writes: 2385.0, Page Fault Rate: 0.0076
Frames: 256, Disk Reads: 5673.0, Disk Writes: 1866.0, Page Fault Rate: 0.0057
Frames: 320, Disk Reads: 4954.0, Disk Writes: 1615.0, Page Fault Rate: 0.005
Frames: 384, Disk Reads: 4350.0, Disk Writes: 1357.0, Page Fault Rate: 0.0043
Frames: 448, Disk Reads: 3985.0, Disk Writes: 1259.0, Page Fault Rate: 0.004
Frames: 512, Disk Reads: 3632.0, Disk Writes: 1159.0, Page Fault Rate: 0.0036
Frames: 640, Disk Reads: 3201.0, Disk Writes: 1034.0, Page Fault Rate: 0.0032
Frames: 768, Disk Reads: 2984.0, Disk Writes: 927.0, Page Fault Rate: 0.003
Frames: 896, Disk Reads: 2866.0, Disk Writes: 859.0, Page Fault Rate: 0.0029
Frames: 1024, Disk Reads: 2803.0, Disk Writes: 789.0, Page Fault Rate: 0.0028
Frames: 1152, Disk Reads: 2747.0, Disk Writes: 695.0, Page Fault Rate: 0.0027
Frames: 1280, Disk Reads: 2714.0, Disk Writes: 619.0, Page Fault Rate: 0.0027
Frames: 1408, Disk Reads: 2671.0, Disk Writes: 577.0, Page Fault Rate: 0.0027
Frames: 1536, Disk Reads: 2638.0, Disk Writes: 515.0, Page Fault Rate: 0.0026
Frames: 1664, Disk Reads: 2618.0, Disk Writes: 442.0, Page Fault Rate: 0.0026
Frames: 1792, Disk Reads: 2599.0, Disk Writes: 392.0, Page Fault Rate: 0.0026
Frames: 1920, Disk Reads: 2585.0, Disk Writes: 324.0, Page Fault Rate: 0.0026
Frames: 2048, Disk Reads: 2576.0, Disk Writes: 259.0, Page Fault Rate: 0.0026
Frames: 2176, Disk Reads: 2563.0, Disk Writes: 177.0, Page Fault Rate: 0.0026
Frames: 2304, Disk Reads: 2552.0, Disk Writes: 110.0, Page Fault Rate: 0.0026
Frames: 2432, Disk Reads: 2544.0, Disk Writes: 47.0, Page Fault Rate: 0.0025
Frames: 2560, Disk Reads: 2543.0, Disk Writes: 0.0, Page Fault Rate: 0.0025
Frames: 2688, Disk Reads: 2543.0, Disk Writes: 0.0, Page Fault Rate: 0.0025
