Frames: 160, Disk Reads: 7681.2, Disk Writes: 741.2, Page Fault Rate: 0.007680000000000001
Frames: 192, Disk Reads: 6905.5, Disk Writes: 738.9, Page Fault Rate: 0.006900000000000001
Frames: 256, Disk Reads: 5812.0, Disk Writes: 758.3, Page Fault Rate: 0.00581
Frames: 320, Disk Reads: 5092.1, Disk Writes: 728.6, Page Fault Rate: 0.005090000000000001
Frames: 384, Disk Reads: 4652.9, Disk Writes: 714.8, Page Fault Rate: 0.00465
Frames: 448, Disk Reads: 4317.5, Disk Writes: 702.0, Page Fault Rate: 0.00431
Frames: 512, Disk Reads: 4060.2, Disk Writes: 672.9, Page Fault Rate: 0.004059999999999999
Frames: 640, Disk Reads: 3703.7, Disk Writes: 646.1, Page Fault Rate: 0.003700000000000001
Frames: 768, Disk Reads: 3471.4, Disk Writes: 617.8, Page Fault Rate: 0.00347
Frames: 896, Disk Reads: 3305.3, Disk Writes: 606.4, Page Fault Rate: 0.0033
Frames: 1024, Disk Reads: 3162.2, Disk Writes: 574.8, Page Fault Rate: 0.003180000000000001
Frames: 1152, Disk Reads: 3045.1, Disk Writes: 526.4, Page Fault Rate: 0.0030399999999999993
Frames: 1280, Disk Reads: 2960.7, Disk Writes: 497.2, Page Fault Rate: 0.0029799999999999996
Frames: 1408, Disk Reads: 2890.6, Disk Writes: 448.2, Page Fault Rate: 0.0029
Frames: 1536, Disk Reads: 2827.3, Disk Writes: 411.0, Page Fault Rate: 0.0028100000000000004
Frames: 1664, Disk Reads: 2766.7, Disk Writes: 349.1, Page Fault Rate: 0.00279
Frames: 1792, Disk Reads: 2706.3, Disk Writes: 280.5, Page Fault Rate: 0.0027000000000000006
Frames: 1920, Disk Reads: 2663.3, Disk Writes: 232.7, Page Fault Rate: 0.0027000000000000006
Frames: 2048, Disk Reads: 2625.6, Disk Writes: 192.9, Page Fault Rate: 0.0025999999999999994
Frames: 2176, Disk Reads: 2596.9, Disk Writes: 141.6, Page Fault Rate: 0.0025999999999999994
Frames: 2304, Disk Reads: 2565.6, Disk Writes: 80.2, Page Fault Rate: 0.0025999999999999994
Frames: 2432, Disk Reads: 2552.9, Disk Writes: 40.4, Page Fault Rate: 0.00257
Frames: 2560, Disk Reads: 2543.0, Disk Writes: 0.0, Page Fault Rate: 0.0024999999999999996
Frames: 2688, Disk Reads: 2543.0, Disk Writes: 0.0, Page Fault Rate: 0.0024999999999999996
